date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:55:47	116/116	---M--	200	added ('OK')	text/plain	date:Wed,%2003%20May%202023%2001:55:43%20GMT	http://besi-hollow.test/robots.txt		(from )
08:56:22	750953/750953	---MC-	200	added ('OK')	text/html	date:Wed,%2003%20May%202023%2001:55:39%20GMT	http://besi-hollow.test/home	C:/My%20Web%20Sites/besi%20hollow/besi-hollow.test/home.html	(from )
08:56:29	700/700	---M--	200	added ('OK')	application/rss+xml	etag:%22a98988439c9c7cd62fc24b6e066b7df9%22	http://besi-hollow.test/comments/feed	C:/My%20Web%20Sites/besi%20hollow/besi-hollow.test/comments/feed	(from http://besi-hollow.test/home)
08:56:29	41482/41482	---M--	200	added ('OK')	text/css	etag:%22a20a-5faabd78834d9%22	http://besi-hollow.test/wp-content/themes/astra/assets/css/minified/main.min.css?ver=4.1.3	C:/My%20Web%20Sites/besi%20hollow/besi-hollow.test/wp-content/themes/astra/assets/css/minified/main.mina352.css	(from http://besi-hollow.test/home)
08:56:31	97517/97517	---M--	200	added ('OK')	text/css	etag:%2217ced-5f680c224ed40%22	http://besi-hollow.test/wp-includes/css/dist/block-library/style.min.css?ver=6.2	C:/My%20Web%20Sites/besi%20hollow/besi-hollow.test/wp-includes/css/dist/block-library/style.minae48.css	(from http://besi-hollow.test/home)
08:56:33	10435/10435	---M--	200	added ('OK')	text/css	etag:%2228c3-5faac25e0aea9%22	http://besi-hollow.test/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-vendors-style.css?ver=9.8.5	C:/My%20Web%20Sites/besi%20hollow/besi-hollow.test/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-vendors-style519f.css	(from http://besi-hollow.test/home)
08:56:33	260560/260560	---M--	200	added ('OK')	text/css	etag:%223f9d0-5faac25dcb7f5%22	http://besi-hollow.test/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-style.css?ver=9.8.5	C:/My%20Web%20Sites/besi%20hollow/besi-hollow.test/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-style519f.css	(from http://besi-hollow.test/home)
08:56:34	16101/16101	---M--	200	added ('OK')	text/css	etag:%223ee5-5faabd786b597%22	http://besi-hollow.test/wp-content/themes/astra/assets/css/minified/compatibility/woocommerce/woocommerce-layout-grid.min.css?ver=4.1.3	C:/My%20Web%20Sites/besi%20hollow/besi-hollow.test/wp-content/themes/astra/assets/css/minified/compatibility/woocommerce/woocommerce-layout-grid.mina352.css	(from http://besi-hollow.test/home)
08:56:34	6005/6005	---M--	200	added ('OK')	text/css	etag:%221775-5faabd786e8ea%22	http://besi-hollow.test/wp-content/themes/astra/assets/css/minified/compatibility/woocommerce/woocommerce-smallscreen-grid.min.css?ver=4.1.3	C:/My%20Web%20Sites/besi%20hollow/besi-hollow.test/wp-content/themes/astra/assets/css/minified/compatibility/woocommerce/woocommerce-smallscreen-grid.mina352.css	(from http://besi-hollow.test/home)
08:56:35	115260/115260	---M--	200	added ('OK')	text/css	etag:%221c23c-5faabd786adaa%22	http://besi-hollow.test/wp-content/themes/astra/assets/css/minified/compatibility/woocommerce/woocommerce-grid.min.css?ver=4.1.3	C:/My%20Web%20Sites/besi%20hollow/besi-hollow.test/wp-content/themes/astra/assets/css/minified/compatibility/woocommerce/woocommerce-grid.mina352.css	(from http://besi-hollow.test/home)
08:56:37	776/776	---M--	200	added ('OK')	text/css	etag:%22308-5faac18cd590f%22	http://besi-hollow.test/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementor.css?ver=1.6.13	C:/My%20Web%20Sites/besi%20hollow/besi-hollow.test/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementor1f62.css	(from http://besi-hollow.test/home)
08:56:37	81269/81269	---M--	200	added ('OK')	text/css	etag:%2213d75-5faac14f08007%22	http://besi-hollow.test/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.12.2	C:/My%20Web%20Sites/besi%20hollow/besi-hollow.test/wp-content/plugins/elementor/assets/css/frontend-lite.mine56c.css	(from http://besi-hollow.test/home)
08:56:39	3509/3509	---M--	200	added ('OK')	text/css	etag:%22db5-5faac5faf1f28%22	http://besi-hollow.test/wp-content/plugins/essential-addons-for-elementor-lite/assets/front-end/css/view/general.min.css?ver=5.7.1	C:/My%20Web%20Sites/besi%20hollow/besi-hollow.test/wp-content/plugins/essential-addons-for-elementor-lite/assets/front-end/css/view/general.mina78f.css	(from http://besi-hollow.test/home)
08:56:39	133079/133079	---M--	200	added ('OK')	text/css	etag:%22207d7-5fab0b08ebd74%22	http://besi-hollow.test/wp-content/uploads/essential-addons-elementor/eael-981.css?ver=1683011863	C:/My%20Web%20Sites/besi%20hollow/besi-hollow.test/wp-content/uploads/essential-addons-elementor/eael-981fef4.css	(from http://besi-hollow.test/home)
08:56:40	19363/19363	---M--	200	added ('OK')	text/css	etag:%224ba3-5faac15b1e3ba%22	http://besi-hollow.test/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.18.0	C:/My%20Web%20Sites/besi%20hollow/besi-hollow.test/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min3b94.css	(from http://besi-hollow.test/home)
